date,magasin,categorie,produit,quantite,prix_unitaire,cout_unitaire,paiement,ca_ttc,marge
2025-01-02,Toulouse,Décoration,Bougie parfumée,1,44.56,21.88,CB,44.56,22.68
2025-01-02,Toulouse,Papeterie,Marque-page,2,8.17,4.39,Sans contact,16.34,7.56
2025-01-02,Toulouse,Cadeaux,Coffret thé,1,16.92,6.36,CB,16.92,10.56
2025-01-02,Toulouse,Textile,Plaid laine,1,55.57,23.62,CB,55.57,31.95
2025-01-02,Toulouse,Cadeaux,Coffret thé,1,22.24,7.98,Sans contact,22.24,14.26
2025-01-02,Toulouse,Décoration,Miroir rond,1,46.58,21.85,Sans contact,46.58,24.73
2025-01-02,Auch,Cuisine,Mug grès,1,27.36,13.64,Sans contact,27.36,13.72
2025-01-02,Auch,Cuisine,Mug grès,1,26.77,14.51,CB,26.77,12.26
2025-01-02,Auch,Cadeaux,Savon artisanal,1,15.6,6.74,Espèces,15.6,8.86
2025-01-02,Auch,Décoration,Vase céramique,1,20.49,8.48,CB,20.49,12.01
2025-01-02,Auch,Cuisine,Set torchons,2,23.64,11.42,Sans contact,47.28,24.44
2025-01-02,Auch,Papeterie,Marque-page,1,8.77,4.42,CB,8.77,4.35
2025-01-02,Auch,Papeterie,Stylo plume,1,8.87,4.4,Sans contact,8.87,4.47
2025-01-02,Auch,Décoration,Vase céramique,1,31.5,14.09,CB,31.5,17.41
2025-01-02,Auch,Textile,Serviettes (x4),1,27.6,11.7,CB,27.6,15.9
2025-01-02,Auch,Cadeaux,Bougie voyage,1,16.78,7.16,CB,16.78,9.62
2025-01-02,Montauban,Cuisine,Théière fonte,1,29.85,14.87,CB,29.85,14.98
2025-01-02,Montauban,Cadeaux,Coffret thé,1,16.84,7.32,Espèces,16.84,9.52
2025-01-02,Montauban,Décoration,Vase céramique,1,26.01,11.63,Espèces,26.01,14.38
2025-01-02,Montauban,Décoration,Bougie parfumée,3,28.92,12.59,Sans contact,86.76,48.99
2025-01-02,Montauban,Textile,Plaid laine,1,42.37,21.68,CB,42.37,20.69
2025-01-02,Montauban,Textile,Rideau lin,2,37.61,18.4,CB,75.22,38.42
2025-01-02,Montauban,Cuisine,Bol émaillé,1,32.43,16.92,CB,32.43,15.51
2025-01-02,Montauban,Cuisine,Bol émaillé,1,25.44,13.44,CB,25.44,12.0
2025-01-02,Montauban,Décoration,Cadre photo,1,20.06,8.82,CB,20.06,11.24
2025-01-03,Toulouse,Textile,Nappe coton,1,42.63,20.65,CB,42.63,21.98
2025-01-03,Toulouse,Cadeaux,Carnet cuir,1,24.66,9.87,CB,24.66,14.79
2025-01-03,Toulouse,Cuisine,Théière fonte,2,28.05,14.54,CB,56.1,27.02
2025-01-03,Toulouse,Cadeaux,Mini plante,2,22.3,9.22,Sans contact,44.6,26.16
2025-01-03,Toulouse,Décoration,Vase céramique,1,39.81,18.75,Espèces,39.81,21.06
2025-01-03,Toulouse,Décoration,Bougie parfumée,2,23.61,11.35,CB,47.22,24.52
2025-01-03,Toulouse,Textile,Tapis tissé,2,21.45,11.54,Sans contact,42.9,19.82
2025-01-03,Toulouse,Cuisine,Mug grès,1,29.91,15.32,Espèces,29.91,14.59
2025-01-03,Toulouse,Décoration,Miroir rond,1,39.08,16.98,Sans contact,39.08,22.1
2025-01-03,Toulouse,Papeterie,Stylo plume,2,8.54,4.56,CB,17.08,7.96
2025-01-03,Toulouse,Cuisine,Théière fonte,2,34.83,18.35,CB,69.66,32.96
2025-01-03,Toulouse,Décoration,Bougie parfumée,2,30.57,14.07,CB,61.14,33.0
2025-01-03,Toulouse,Décoration,Vase céramique,1,44.4,19.19,CB,44.4,25.21
2025-01-03,Toulouse,Cadeaux,Carnet cuir,1,21.62,8.54,Sans contact,21.62,13.08
2025-01-03,Toulouse,Décoration,Miroir rond,1,41.48,19.03,CB,41.48,22.45
2025-01-03,Toulouse,Cadeaux,Savon artisanal,1,28.28,11.14,Espèces,28.28,17.14
2025-01-03,Toulouse,Cadeaux,Savon artisanal,1,17.39,7.07,Espèces,17.39,10.32
2025-01-03,Toulouse,Décoration,Bougie parfumée,1,42.76,19.09,Sans contact,42.76,23.67
2025-01-03,Toulouse,Cuisine,Set torchons,1,20.41,10.75,Espèces,20.41,9.66
2025-01-03,Toulouse,Textile,Nappe coton,1,33.95,17.31,Sans contact,33.95,16.64
2025-01-03,Toulouse,Papeterie,Carte postale,2,8.2,3.88,CB,16.4,8.64
2025-01-03,Auch,Cadeaux,Mini plante,3,14.68,5.94,Sans contact,44.04,26.22
2025-01-03,Auch,Cuisine,Mug grès,1,26.56,13.37,Sans contact,26.56,13.19
2025-01-03,Auch,Cadeaux,Mini plante,1,17.51,7.19,CB,17.51,10.32
2025-01-03,Auch,Textile,Tapis tissé,2,38.89,17.47,Sans contact,77.78,42.84
2025-01-03,Auch,Décoration,Miroir rond,1,25.62,11.27,CB,25.62,14.35
2025-01-03,Auch,Cuisine,Planche à découper,1,23.43,11.93,Espèces,23.43,11.5
2025-01-03,Auch,Décoration,Miroir rond,1,16.29,8.26,CB,16.29,8.03
2025-01-03,Auch,Textile,Rideau lin,2,34.15,15.48,CB,68.3,37.34
2025-01-03,Auch,Cuisine,Planche à découper,2,15.79,9.05,CB,31.58,13.48
2025-01-03,Auch,Cuisine,Set torchons,3,23.99,11.68,Espèces,71.97,36.93
2025-01-03,Auch,Cuisine,Mug grès,1,20.08,10.35,CB,20.08,9.73
2025-01-03,Montauban,Décoration,Bougie parfumée,1,33.02,14.62,Sans contact,33.02,18.4
2025-01-03,Montauban,Cadeaux,Carnet cuir,1,15.08,6.01,CB,15.08,9.07
2025-01-03,Montauban,Cuisine,Théière fonte,1,21.74,11.75,Espèces,21.74,9.99
2025-01-03,Montauban,Décoration,Coussin lin,1,24.42,11.18,Sans contact,24.42,13.24
2025-01-03,Montauban,Décoration,Vase céramique,2,34.23,16.03,CB,68.46,36.4
2025-01-04,Toulouse,Textile,Rideau lin,1,58.41,27.44,CB,58.41,30.97
2025-01-04,Toulouse,Cuisine,Mug grès,1,16.41,8.2,CB,16.41,8.21
2025-01-04,Toulouse,Décoration,Vase céramique,1,30.74,14.6,CB,30.74,16.14
2025-01-04,Toulouse,Décoration,Miroir rond,1,43.75,18.79,CB,43.75,24.96
2025-01-04,Toulouse,Cuisine,Planche à découper,1,30.82,16.59,Sans contact,30.82,14.23
2025-01-04,Toulouse,Décoration,Vase céramique,1,28.75,13.38,Sans contact,28.75,15.37
2025-01-04,Toulouse,Cadeaux,Carnet cuir,1,20.34,7.21,CB,20.34,13.13
2025-01-04,Toulouse,Textile,Nappe coton,2,48.34,21.88,CB,96.68,52.92
2025-01-04,Toulouse,Cadeaux,Savon artisanal,1,20.92,8.29,Sans contact,20.92,12.63
2025-01-04,Toulouse,Décoration,Coussin lin,1,42.15,16.84,CB,42.15,25.31
2025-01-04,Toulouse,Textile,Plaid laine,2,37.55,18.11,Sans contact,75.1,38.88
2025-01-04,Toulouse,Textile,Rideau lin,2,42.92,20.61,Sans contact,85.84,44.62
2025-01-04,Toulouse,Cuisine,Mug grès,3,37.78,20.76,Sans contact,113.34,51.06
2025-01-04,Toulouse,Cuisine,Set torchons,1,29.8,15.99,CB,29.8,13.81
2025-01-04,Toulouse,Décoration,Miroir rond,1,39.06,17.65,CB,39.06,21.41
2025-01-04,Toulouse,Cadeaux,Bougie voyage,1,27.14,10.99,Espèces,27.14,16.15
2025-01-04,Toulouse,Décoration,Miroir rond,1,38.14,17.5,CB,38.14,20.64
2025-01-04,Toulouse,Papeterie,Stylo plume,3,10.2,5.33,CB,30.6,14.61
2025-01-04,Toulouse,Papeterie,Carnet A5,1,10.43,4.93,CB,10.43,5.5
2025-01-04,Toulouse,Décoration,Cadre photo,1,40.19,16.47,CB,40.19,23.72
2025-01-04,Toulouse,Textile,Rideau lin,2,54.77,26.34,Espèces,109.54,56.86
2025-01-04,Toulouse,Textile,Rideau lin,1,49.14,24.88,Sans contact,49.14,24.26
2025-01-04,Toulouse,Papeterie,Stylo plume,1,9.76,4.83,Sans contact,9.76,4.93
2025-01-04,Toulouse,Textile,Rideau lin,2,40.8,19.19,Espèces,81.6,43.22
2025-01-04,Toulouse,Décoration,Cadre photo,1,29.25,14.11,Sans contact,29.25,15.14
2025-01-04,Toulouse,Papeterie,Stylo plume,1,6.41,3.21,CB,6.41,3.2
2025-01-04,Toulouse,Cuisine,Planche à découper,1,33.63,17.83,Espèces,33.63,15.8
2025-01-04,Toulouse,Décoration,Miroir rond,2,31.81,14.08,CB,63.62,35.46
2025-01-04,Toulouse,Cadeaux,Bougie voyage,3,19.45,7.79,Espèces,58.35,34.98
2025-01-04,Toulouse,Papeterie,Marque-page,1,11.03,5.75,CB,11.03,5.28
2025-01-04,Toulouse,Textile,Nappe coton,1,43.0,21.58,CB,43.0,21.42
2025-01-04,Toulouse,Cuisine,Bol émaillé,1,29.27,13.75,Sans contact,29.27,15.52
2025-01-04,Toulouse,Décoration,Vase céramique,2,27.25,12.31,CB,54.5,29.88
2025-01-04,Toulouse,Décoration,Coussin lin,1,34.1,15.31,CB,34.1,18.79
2025-01-04,Toulouse,Cuisine,Mug grès,1,31.2,14.69,CB,31.2,16.51
2025-01-04,Auch,Cadeaux,Savon artisanal,3,16.86,6.37,Sans contact,50.58,31.47
2025-01-04,Auch,Décoration,Coussin lin,1,30.3,13.34,CB,30.3,16.96
2025-01-04,Auch,Cadeaux,Mini plante,1,14.57,5.84,CB,14.57,8.73
2025-01-04,Auch,Cadeaux,Mini plante,1,14.23,5.83,CB,14.23,8.4
2025-01-04,Auch,Cuisine,Mug grès,1,21.03,10.6,CB,21.03,10.43
2025-01-04,Auch,Papeterie,Marque-page,1,6.24,2.95,CB,6.24,3.29
2025-01-04,Auch,Cuisine,Mug grès,1,19.18,10.55,Sans contact,19.18,8.63
2025-01-04,Auch,Cuisine,Set torchons,1,23.66,11.15,CB,23.66,12.51
2025-01-04,Auch,Papeterie,Carnet A5,1,7.27,3.98,CB,7.27,3.29
2025-01-04,Auch,Textile,Serviettes (x4),1,34.49,16.56,Sans contact,34.49,17.93
2025-01-04,Montauban,Décoration,Vase céramique,1,37.42,17.02,CB,37.42,20.4
2025-01-04,Montauban,Textile,Nappe coton,1,48.64,22.93,CB,48.64,25.71
2025-01-04,Montauban,Papeterie,Carnet A5,1,3.09,1.58,Sans contact,3.09,1.51
2025-01-04,Montauban,Cuisine,Théière fonte,1,20.92,10.62,Espèces,20.92,10.3
2025-01-04,Montauban,Cadeaux,Mini plante,2,23.24,8.83,Espèces,46.48,28.82
2025-01-04,Montauban,Décoration,Miroir rond,1,24.14,10.46,CB,24.14,13.68
2025-01-04,Montauban,Décoration,Cadre photo,1,31.39,14.56,CB,31.39,16.83
2025-01-04,Montauban,Cadeaux,Coffret thé,1,21.58,8.02,CB,21.58,13.56
2025-01-04,Montauban,Papeterie,Carte postale,1,9.37,4.77,CB,9.37,4.6
2025-01-04,Montauban,Cuisine,Planche à découper,1,25.43,13.62,CB,25.43,11.81
2025-01-04,Montauban,Textile,Plaid laine,1,50.65,25.91,CB,50.65,24.74
2025-01-04,Montauban,Textile,Nappe coton,1,45.52,21.99,CB,45.52,23.53
2025-01-05,Toulouse,Cuisine,Set torchons,1,27.61,14.84,Espèces,27.61,12.77
2025-01-05,Toulouse,Textile,Rideau lin,1,49.14,25.29,Sans contact,49.14,23.85
2025-01-05,Toulouse,Cadeaux,Mini plante,1,16.9,6.67,CB,16.9,10.23
2025-01-05,Toulouse,Décoration,Bougie parfumée,2,39.05,17.93,CB,78.1,42.24
2025-01-05,Toulouse,Cadeaux,Mini plante,1,12.58,5.03,CB,12.58,7.55
2025-01-05,Toulouse,Papeterie,Stickers,1,10.73,5.5,CB,10.73,5.23
2025-01-05,Toulouse,Papeterie,Stickers,2,9.31,4.81,CB,18.62,9.0
2025-01-05,Toulouse,Textile,Tapis tissé,1,51.78,23.91,CB,51.78,27.87
2025-01-05,Toulouse,Papeterie,Stickers,3,8.57,4.02,Sans contact,25.71,13.65
2025-01-05,Toulouse,Cadeaux,Bougie voyage,1,29.81,12.8,Espèces,29.81,17.01
2025-01-05,Toulouse,Décoration,Bougie parfumée,1,39.75,19.19,Sans contact,39.75,20.56
2025-01-05,Toulouse,Cadeaux,Savon artisanal,1,18.3,6.93,Sans contact,18.3,11.37
2025-01-05,Toulouse,Cadeaux,Savon artisanal,1,19.97,7.9,Sans contact,19.97,12.07
2025-01-05,Toulouse,Décoration,Vase céramique,1,38.3,19.66,Sans contact,38.3,18.64
2025-01-05,Toulouse,Papeterie,Marque-page,2,10.07,5.05,Sans contact,20.14,10.04
2025-01-05,Toulouse,Textile,Plaid laine,2,34.42,17.06,CB,68.84,34.72
2025-01-05,Toulouse,Textile,Nappe coton,1,52.58,24.41,Sans contact,52.58,28.17
2025-01-05,Toulouse,Cuisine,Set torchons,1,35.45,19.33,CB,35.45,16.12
2025-01-05,Toulouse,Cuisine,Mug grès,1,30.57,15.02,Sans contact,30.57,15.55
2025-01-05,Toulouse,Cadeaux,Carnet cuir,1,17.74,7.39,Espèces,17.74,10.35
2025-01-05,Toulouse,Cadeaux,Coffret thé,1,19.8,7.95,CB,19.8,11.85
2025-01-05,Toulouse,Décoration,Cadre photo,1,39.13,18.0,CB,39.13,21.13
2025-01-05,Toulouse,Cuisine,Théière fonte,1,26.69,15.11,CB,26.69,11.58
2025-01-05,Toulouse,Décoration,Miroir rond,2,22.91,10.17,Sans contact,45.82,25.48
2025-01-05,Toulouse,Décoration,Cadre photo,1,45.33,20.44,CB,45.33,24.89
2025-01-05,Toulouse,Cadeaux,Savon artisanal,1,27.1,9.76,CB,27.1,17.34
2025-01-05,Toulouse,Cadeaux,Bougie voyage,1,22.46,9.44,Sans contact,22.46,13.02
2025-01-05,Toulouse,Cuisine,Mug grès,1,32.38,16.36,CB,32.38,16.02
2025-01-05,Toulouse,Cuisine,Mug grès,2,34.92,16.87,CB,69.84,36.1
2025-01-05,Toulouse,Textile,Serviettes (x4),1,43.89,20.03,Espèces,43.89,23.86
2025-01-05,Toulouse,Cadeaux,Savon artisanal,1,19.17,7.23,CB,19.17,11.94
2025-01-05,Toulouse,Décoration,Miroir rond,2,30.19,12.5,Espèces,60.38,35.38
2025-01-05,Toulouse,Cuisine,Bol émaillé,1,29.67,16.09,Espèces,29.67,13.58
2025-01-05,Auch,Décoration,Bougie parfumée,1,27.16,12.6,Sans contact,27.16,14.56
2025-01-05,Auch,Cuisine,Théière fonte,1,20.6,11.75,Espèces,20.6,8.85
2025-01-05,Auch,Décoration,Cadre photo,1,24.0,10.23,CB,24.0,13.77
2025-01-05,Auch,Cuisine,Set torchons,2,21.2,10.65,CB,42.4,21.1
2025-01-05,Auch,Décoration,Vase céramique,1,40.63,19.09,CB,40.63,21.54
2025-01-05,Auch,Papeterie,Carnet A5,1,4.23,1.92,Espèces,4.23,2.31
2025-01-05,Montauban,Textile,Serviettes (x4),1,44.08,19.97,CB,44.08,24.11
2025-01-05,Montauban,Cuisine,Planche à découper,1,24.37,12.17,CB,24.37,12.2
2025-01-05,Montauban,Cuisine,Théière fonte,1,26.67,14.75,Espèces,26.67,11.92
2025-01-05,Montauban,Cuisine,Bol émaillé,1,28.51,14.52,Sans contact,28.51,13.99
2025-01-05,Montauban,Cuisine,Set torchons,1,17.26,9.66,CB,17.26,7.6
2025-01-05,Montauban,Textile,Nappe coton,1,35.47,16.99,CB,35.47,18.48
2025-01-05,Montauban,Décoration,Cadre photo,1,37.76,17.67,Espèces,37.76,20.09
2025-01-05,Montauban,Cadeaux,Carnet cuir,2,15.29,6.31,Espèces,30.58,17.96
2025-01-05,Montauban,Décoration,Bougie parfumée,1,40.35,18.5,Espèces,40.35,21.85
2025-01-05,Montauban,Décoration,Miroir rond,1,41.33,18.4,Espèces,41.33,22.93
2025-01-05,Montauban,Cadeaux,Coffret thé,1,11.47,4.6,Sans contact,11.47,6.87
2025-01-05,Montauban,Cuisine,Théière fonte,1,32.66,17.13,CB,32.66,15.53
2025-01-05,Montauban,Cadeaux,Bougie voyage,1,11.1,4.63,Sans contact,11.1,6.47
2025-01-05,Montauban,Cadeaux,Bougie voyage,2,14.87,5.33,Sans contact,29.74,19.08
2025-01-05,Montauban,Cuisine,Mug grès,3,22.92,11.32,CB,68.76,34.8
2025-01-06,Toulouse,Décoration,Coussin lin,1,32.33,14.96,Sans contact,32.33,17.37
2025-01-06,Toulouse,Décoration,Miroir rond,1,39.29,18.73,CB,39.29,20.56
2025-01-06,Toulouse,Textile,Plaid laine,1,33.06,16.64,CB,33.06,16.42
2025-01-06,Toulouse,Décoration,Bougie parfumée,1,35.98,14.67,CB,35.98,21.31
2025-01-06,Toulouse,Papeterie,Carnet A5,3,11.12,5.69,Espèces,33.36,16.29
2025-01-06,Toulouse,Papeterie,Carte postale,1,9.95,5.08,CB,9.95,4.87
2025-01-06,Toulouse,Textile,Nappe coton,1,65.13,30.12,CB,65.13,35.01
2025-01-06,Toulouse,Papeterie,Stickers,2,9.88,4.62,CB,19.76,10.52
2025-01-06,Toulouse,Décoration,Vase céramique,1,39.89,17.5,Espèces,39.89,22.39
2025-01-06,Toulouse,Cuisine,Théière fonte,1,25.72,12.22,CB,25.72,13.5
2025-01-06,Toulouse,Décoration,Cadre photo,1,29.33,14.02,Espèces,29.33,15.31
2025-01-06,Toulouse,Cadeaux,Savon artisanal,2,23.79,8.75,CB,47.58,30.08
2025-01-06,Toulouse,Cadeaux,Savon artisanal,2,21.36,9.17,Espèces,42.72,24.38
2025-01-06,Toulouse,Cuisine,Set torchons,1,26.02,12.35,CB,26.02,13.67
2025-01-06,Toulouse,Décoration,Miroir rond,1,39.03,16.97,Espèces,39.03,22.06
2025-01-06,Toulouse,Décoration,Vase céramique,1,39.86,19.61,CB,39.86,20.25
2025-01-06,Toulouse,Cuisine,Bol émaillé,1,20.6,10.54,CB,20.6,10.06
2025-01-06,Toulouse,Décoration,Coussin lin,1,32.95,15.02,CB,32.95,17.93
2025-01-06,Toulouse,Textile,Tapis tissé,1,42.53,18.81,Sans contact,42.53,23.72
2025-01-06,Toulouse,Cuisine,Planche à découper,1,23.37,12.76,Sans contact,23.37,10.61
2025-01-06,Auch,Papeterie,Marque-page,1,6.83,3.46,CB,6.83,3.37
2025-01-06,Auch,Cuisine,Mug grès,1,10.11,5.55,CB,10.11,4.56
2025-01-06,Auch,Décoration,Miroir rond,1,36.26,16.55,Sans contact,36.26,19.71
2025-01-06,Auch,Cuisine,Set torchons,1,20.41,10.44,Sans contact,20.41,9.97
2025-01-06,Auch,Textile,Tapis tissé,1,45.51,24.36,Espèces,45.51,21.15
2025-01-06,Auch,Cuisine,Bol émaillé,1,22.99,11.52,CB,22.99,11.47
2025-01-06,Auch,Cuisine,Bol émaillé,1,21.76,10.55,CB,21.76,11.21
2025-01-06,Auch,Cadeaux,Bougie voyage,1,16.52,6.6,Espèces,16.52,9.92
2025-01-06,Auch,Papeterie,Marque-page,2,11.16,5.47,CB,22.32,11.38
2025-01-06,Auch,Décoration,Bougie parfumée,2,31.72,14.51,Espèces,63.44,34.42
2025-01-06,Montauban,Cuisine,Théière fonte,1,24.77,12.87,Espèces,24.77,11.9
2025-01-06,Montauban,Cadeaux,Coffret thé,1,16.85,6.85,Espèces,16.85,10.0
2025-01-06,Montauban,Cadeaux,Savon artisanal,1,16.17,6.9,CB,16.17,9.27
2025-01-06,Montauban,Cuisine,Set torchons,1,26.15,13.57,CB,26.15,12.58
2025-01-06,Montauban,Décoration,Bougie parfumée,1,35.16,14.24,CB,35.16,20.92
2025-01-06,Montauban,Cadeaux,Coffret thé,1,15.68,6.17,Sans contact,15.68,9.51
2025-01-06,Montauban,Papeterie,Carte postale,2,8.62,4.22,CB,17.24,8.8
2025-01-06,Montauban,Décoration,Miroir rond,1,31.02,14.39,CB,31.02,16.63
2025-01-07,Toulouse,Cadeaux,Bougie voyage,2,17.13,6.27,Sans contact,34.26,21.72
2025-01-07,Toulouse,Papeterie,Carnet A5,1,9.86,4.99,CB,9.86,4.87
2025-01-07,Toulouse,Textile,Tapis tissé,1,31.26,15.42,CB,31.26,15.84
2025-01-07,Toulouse,Décoration,Coussin lin,2,32.0,14.14,Sans contact,64.0,35.72
2025-01-07,Toulouse,Textile,Tapis tissé,2,52.39,24.96,Sans contact,104.78,54.86
2025-01-07,Toulouse,Décoration,Vase céramique,2,31.39,13.46,CB,62.78,35.86
2025-01-07,Toulouse,Papeterie,Carte postale,1,11.71,5.86,Sans contact,11.71,5.85
2025-01-07,Toulouse,Cadeaux,Savon artisanal,2,20.65,7.74,CB,41.3,25.82
2025-01-07,Toulouse,Textile,Nappe coton,1,48.86,23.27,Sans contact,48.86,25.59
2025-01-07,Toulouse,Décoration,Coussin lin,1,36.01,14.31,CB,36.01,21.7
2025-01-07,Toulouse,Décoration,Cadre photo,2,27.62,12.32,Espèces,55.24,30.6
2025-01-07,Toulouse,Papeterie,Carte postale,1,11.19,5.66,CB,11.19,5.53
2025-01-07,Toulouse,Cadeaux,Coffret thé,1,24.92,9.26,CB,24.92,15.66
2025-01-07,Toulouse,Cuisine,Bol émaillé,2,30.12,15.49,Sans contact,60.24,29.26
2025-01-07,Toulouse,Décoration,Miroir rond,1,36.52,15.88,CB,36.52,20.64
2025-01-07,Toulouse,Décoration,Bougie parfumée,1,25.03,10.84,CB,25.03,14.19
2025-01-07,Toulouse,Textile,Rideau lin,2,55.73,28.26,Sans contact,111.46,54.94
2025-01-07,Toulouse,Décoration,Miroir rond,2,39.28,16.6,Espèces,78.56,45.36
2025-01-07,Toulouse,Cadeaux,Mini plante,2,21.75,7.93,CB,43.5,27.64
2025-01-07,Toulouse,Papeterie,Carnet A5,1,9.97,5.11,Espèces,9.97,4.86
2025-01-07,Toulouse,Décoration,Cadre photo,1,26.92,12.04,Espèces,26.92,14.88
2025-01-07,Toulouse,Cuisine,Mug grès,2,24.15,13.36,Espèces,48.3,21.58
2025-01-07,Auch,Cadeaux,Mini plante,2,11.54,4.72,Sans contact,23.08,13.64
2025-01-07,Auch,Cuisine,Planche à découper,1,25.44,12.75,CB,25.44,12.69
2025-01-07,Auch,Décoration,Coussin lin,1,26.01,11.33,CB,26.01,14.68
2025-01-07,Auch,Cadeaux,Mini plante,1,16.92,7.06,CB,16.92,9.86
